id,word,article,translation,level,category,plural,example_de,example_es,has_article,part_of_speech
259,wenn,,si/cuando,A2,conectores,—,"Wenn ich Zeit habe, komme ich.","Si tengo tiempo, vengo.",False,other
260,während,,mientras,B1,conectores,—,"Während ich koche, höre ich Musik.","Mientras cocino, escucho música.",False,other
261,ob,,si,B1,conectores,—,"Ich weiß nicht, ob er kommt.",No sé si viene.,False,other
262,Nachmittag,der,tarde,A1,tiempo,Nachmittage,Am Nachmittag habe ich Zeit.,Por la tarde tengo tiempo.,True,noun
263,Nacht,die,noche,A1,tiempo,Nächte,In der Nacht schlafe ich.,Por la noche duermo.,True,noun
264,Minute,die,minuto,A1,tiempo,Minuten,Warte eine Minute.,Espera un minuto.,True,noun
265,Stunde,die,hora,A1,tiempo,Stunden,Der Kurs dauert zwei Stunden.,El curso dura dos horas.,True,noun
266,Sekunde,die,segundo,A1,tiempo,Sekunden,"Eine Sekunde, bitte.","Un segundo, por favor.",True,noun
267,Wochenende,das,fin de semana,A1,tiempo,Wochenenden,Am Wochenende habe ich frei.,El fin de semana tengo libre.,True,noun
268,Feierabend,der,fin de la jornada laboral,B1,trabajo,—,Nach Feierabend gehe ich nach Hause.,Después del trabajo me voy a casa.,True,noun
269,Einladung,die,invitación,A2,social,Einladungen,Danke für die Einladung.,Gracias por la invitación.,True,noun
270,Geschenk,das,regalo,A1,social,Geschenke,Das Geschenk ist für dich.,El regalo es para ti.,True,noun
271,Party,die,fiesta,A1,social,Partys,Die Party beginnt um acht.,La fiesta empieza a las ocho.,True,noun
272,Fest,das,fiesta/festival,A2,social,Feste,Wir feiern ein großes Fest.,Celebramos una gran fiesta.,True,noun
273,Brief,der,carta,A1,comunicación,Briefe,Ich schreibe einen Brief.,Escribo una carta.,True,noun
274,Adresse,die,dirección,A1,comunicación,Adressen,Wie ist deine Adresse?,¿Cuál es tu dirección?,True,noun
275,Name,der,nombre,A1,personas,Namen,Wie ist dein Name?,¿Cómo te llamas?,True,noun
276,Vorname,der,nombre de pila,A1,personas,Vornamen,Mein Vorname ist Anna.,Mi nombre es Anna.,True,noun
277,Nachname,der,apellido,A1,personas,Nachnamen,Wie ist Ihr Nachname?,¿Cuál es su apellido?,True,noun
278,Alter,das,edad,A1,personas,—,Wie alt bist du?,¿Cuántos años tienes?,True,noun
279,Sprache,die,idioma/lengua,A1,idiomas,Sprachen,Deutsch ist eine schöne Sprache.,El alemán es un idioma bonito.,True,other
280,Wort,das,palabra,A1,idiomas,Wörter,Was bedeutet dieses Wort?,¿Qué significa esta palabra?,True,other
281,Satz,der,frase/oración,A1,idiomas,Sätze,Schreib einen Satz.,Escribe una frase.,True,other
282,Bedeutung,die,significado,B1,idiomas,Bedeutungen,Was ist die Bedeutung?,¿Cuál es el significado?,True,other
283,Aussprache,die,pronunciación,B1,idiomas,Aussprachen,Die Aussprache ist schwierig.,La pronunciación es difícil.,True,other
284,Fehler,der,error,A2,idiomas,Fehler,Ich mache viele Fehler.,Cometo muchos errores.,True,other
285,Übung,die,ejercicio/práctica,A1,educación,Übungen,Wir machen eine Übung.,Hacemos un ejercicio.,True,noun
286,Unterricht,der,clase,A1,educación,—,Der Unterricht beginnt um neun.,La clase empieza a las nueve.,True,noun
287,Kurs,der,curso,A1,educación,Kurse,Der Deutschkurs ist interessant.,El curso de alemán es interesante.,True,noun
288,Note,die,nota/calificación,A2,educación,Noten,Ich habe eine gute Note bekommen.,He sacado una buena nota.,True,noun
